13.42059,-18.00529
12.5768,-18.01298
9.862185,-18.03497
5.870679,-18.05966
2.908854,-18.07245
-0.7093294,-18.08434
-4.911098,-18.08651
-9.739187,-18.07599
-15.74616,-17.81359
-19.6756,-17.28667
-24.81124,-16.06645
-28.51442,-12.59576
-30.7608,-8.023207
-32.27982,-2.454979
-32.90739,3.783762
-32.61892,9.447005
-30.4864,14.51887
-28.29928,17.27519
-25.39028,19.95724
-16.72626,23.238
-12.27561,21.51352
-7.50898,18.44301
-4.361078,16.65893
0.2972521,13.14783
2.822875,8.051889
1.247891,4.003004
-0.8587318,1.614392
-3.52986,-1.201629
-5.459206,-2.673282
-10.59179,-5.504791
-14.58731,-6.819159
-19.24506,-6.031868
-21.66652,-3.461471
-22.19585,-1.176518
-22.04093,0.2630261
-21.35281,1.933715
-20.56338,2.930301
-18.85233,4.126513
-14.40744,4.202491
-10.90395,1.792598
-7.261235,-1.276335
-3.697769,-3.846414
1.410205,-6.187622
5.734704,-7.333493
10.80762,-8.104885
16.76561,-8.240078
19.75643,-6.996308
22.36051,-3.740235
23.18306,-0.8960896
22.30027,2.161831
21.19329,5.872608
21.20452,10.63193
24.0579,13.50538
27.55372,13.87269
31.12612,11.65434
34.34462,8.323698
36.15652,4.634296
36.94587,0.9800599
36.58728,-4.271768
33.2145,-9.639302
29.74119,-14.28276
25.99484,-17.59888
21.45277,-20.02686
16.43782,-20.10441
1.208112,-20.52729
-3.083103,-20.36878
-10.42188,-18.95214
-21.57805,-15.4055
-28.12758,-10.02934
-29.85114,-1.796725
-29.79553,7.756615
-24.53273,15.74105
-20.01399,18.59449
-14.20067,19.72746
-7.405638,16.9045
-3.758208,10.28879
-2.834232,2.344186
-5.02696,-4.571151
-5.831933,-6.482699
-13.33282,-11.31232
